iter	Passed	Remaining
415	3663	5142
416	3668	5129
417	3674	5116
418	3681	5104
419	3687	5092
420	3695	5081
421	3700	5068
422	3706	5055
423	3712	5043
424	3718	5031
425	3726	5020
426	3734	5011
427	3750	5011
428	3760	5005
429	3766	4993
430	3772	4980
431	3779	4969
432	3789	4962
433	3796	4951
434	3802	4939
435	3809	4927
436	3815	4916
437	3823	4905
438	3835	4901
439	3842	4891
440	3852	4883
441	3867	4882
442	3877	4874
443	3890	4872
444	3899	4862
445	3904	4850
446	3912	4840
447	3923	4834
448	3931	4824
449	3938	4813
450	3944	4801
451	3951	4791
452	3957	4778
453	3964	4767
454	3969	4755
455	3975	4742
456	3988	4739
457	3996	4729
458	4002	4717
459	4008	4706
460	4020	4700
461	4027	4689
462	4034	4678
463	4040	4667
464	4047	4657
465	4060	4652
466	4067	4642
467	4073	4630
468	4082	4621
469	4090	4612
470	4097	4601
471	4103	4590
472	4108	4578
473	4115	4567
474	4121	4555
475	4128	4544
476	4142	4541
477	4151	4534
478	4158	4522
479	4167	4514
480	4173	4503
481	4180	4493
482	4188	4483
483	4195	4472
484	4200	4460
485	4208	4450
486	4221	4447
487	4229	4437
488	4236	4426
489	4242	4416
490	4249	4405
491	4256	4395
492	4264	4385
493	4269	4373
494	4276	4362
495	4282	4352
496	4289	4341
497	4298	4332
498	4305	4322
499	4317	4317
500	4325	4308
501	4333	4299
502	4341	4289
503	4348	4279
504	4354	4268
505	4361	4258
506	4367	4246
507	4373	4236
508	4380	4225
509	4386	4214
510	4393	4204
511	4411	4204
512	4441	4215
513	4460	4217
514	4468	4208
515	4479	4201
516	4492	4196
517	4525	4211
518	4539	4207
519	4547	4197
520	4559	4191
521	4567	4182
522	4575	4172
523	4581	4161
524	4587	4150
525	4593	4139
526	4599	4128
527	4605	4116
528	4611	4105
529	4616	4094
530	4624	4084
531	4631	4074
532	4638	4063
533	4644	4053
534	4650	4042
535	4656	4031
536	4662	4019
537	4667	4008
538	4673	3997
539	4678	3985
540	4684	3974
541	4691	3964
542	4707	3961
543	4714	3951
544	4720	3940
545	4726	3929
546	4732	3918
547	4740	3910
548	4750	3902
549	4758	3893
550	4763	3882
551	4770	3871
552	4776	3860
553	4782	3850
554	4789	3840
555	4801	3834
556	4808	3824
557	4815	3814
558	4822	3804
559	4828	3793
560	4841	3788
561	4858	3786
562	4867	3778
563	4876	3769
564	4882	3758
565	4899	3756
566	4908	3748
567	4916	3739
568	4923	3729
569	4930	3719
570	4939	3710
571	4945	3700
572	4954	3692
573	4971	3689
574	4977	3679
575	4985	3669
576	4991	3659
577	4998	3649
578	5011	3643
579	5028	3641
580	5050	3642
581	5068	3640
582	5076	3631
583	5097	3630
584	5126	3636
585	5139	3631
586	5146	3620
587	5158	3614
588	5173	3610
589	5182	3601
590	5195	3595
591	5214	3593
592	5240	3597
593	5249	3588
594	5260	3580
595	5269	3571
596	5286	3568
597	5296	3560
598	5303	3550
599	5317	3545
600	5326	3536
601	5336	3527
602	5347	3520
603	5359	3513
604	5370	3506
605	5380	3498
606	5387	3488
607	5400	3481
608	5432	3487
609	5445	3481
610	5453	3472
611	5460	3461
612	5466	3451
613	5476	3443
614	5486	3434
615	5494	3425
616	5500	3414
617	5506	3403
618	5512	3393
619	5518	3382
620	5532	3376
621	5543	3368
622	5550	3358
623	5566	3354
624	5574	3344
625	5581	3334
626	5589	3324
627	5597	3315
628	5608	3308
629	5623	3302
630	5633	3294
631	5640	3284
632	5647	3274
633	5654	3264
634	5664	3256
635	5675	3248
636	5684	3239
637	5690	3228
638	5696	3218
639	5702	3207
640	5713	3200
641	5723	3191
642	5734	3183
643	5742	3174
644	5757	3168
645	5765	3159
646	5774	3150
647	5781	3140
648	5793	3133
649	5802	3124
650	5809	3114
651	5817	3105
652	5837	3102
653	5853	3096
654	5866	3090
655	5878	3082
656	5890	3075
657	5896	3064
658	5903	3054
659	5911	3045
660	5920	3036
661	5927	3026
662	5934	3016
663	5940	3006
664	5950	2997
665	5958	2988
666	5965	2978
667	5972	2968
668	5979	2958
669	5991	2951
670	6005	2944
671	6012	2934
672	6020	2925
673	6027	2915
674	6034	2905
675	6041	2895
676	6048	2885
677	6058	2877
678	6067	2868
679	6074	2858
680	6081	2848
681	6093	2841
682	6101	2831
683	6109	2822
684	6123	2815
685	6134	2807
686	6151	2802
687	6161	2794
688	6170	2785
689	6176	2774
690	6183	2765
691	6188	2754
692	6195	2744
693	6200	2734
694	6206	2723
695	6212	2713
696	6218	2703
697	6223	2692
698	6234	2684
699	6240	2674
700	6247	2664
701	6253	2654
702	6268	2648
703	6278	2639
704	6289	2631
705	6297	2622
706	6302	2612
707	6313	2604
708	6320	2594
709	6327	2584
710	6333	2574
711	6338	2564
712	6346	2554
713	6351	2544
714	6364	2536
715	6371	2527
716	6380	2518
717	6385	2507
718	6391	2497
719	6401	2489
720	6409	2480
721	6414	2469
722	6420	2459
723	6426	2450
724	6431	2439
725	6440	2430
726	6450	2422
727	6459	2413
728	6465	2403
729	6471	2393
730	6477	2383
731	6483	2373
732	6488	2363
733	6494	2353
734	6500	2343
735	6507	2334
736	6513	2324
737	6522	2315
738	6529	2305
739	6534	2295
740	6539	2285
741	6545	2275
742	6550	2265
743	6556	2255
744	6561	2245
745	6566	2235
746	6572	2226
747	6577	2215
748	6583	2206
749	6588	2196
750	6593	2186
751	6598	2176
752	6603	2166
753	6609	2156
754	6614	2146
755	6619	2136
756	6625	2126
757	6631	2117
758	6635	2107
759	6641	2097
760	6647	2087
761	6652	2077
762	6657	2068
763	6662	2058
764	6668	2048
765	6673	2038
766	6679	2029
767	6684	2019
768	6690	2009
769	6695	1999
770	6701	1990
771	6706	1980
772	6711	1970
773	6717	1961
774	6722	1951
775	6727	1941
776	6734	1932
777	6743	1924
778	6750	1914
779	6755	1905
780	6770	1898
781	6778	1889
782	6786	1880
783	6791	1871
784	6796	1861
785	6813	1854
786	6830	1848
787	6841	1840
788	6858	1834
789	6869	1826
790	6880	1817
791	6887	1808
792	6893	1799
793	6903	1791
794	6911	1782
795	6917	1772
796	6925	1763
797	6933	1755
798	6941	1746
799	6949	1737
800	6957	1728
801	6964	1719
802	6972	1710
803	6987	1703
804	6997	1694
805	7004	1686
806	7016	1678
807	7030	1670
808	7037	1661
809	7043	1652
810	7049	1642
811	7055	1633
812	7062	1624
813	7068	1615
814	7074	1605
815	7082	1597
816	7092	1588
817	7100	1579
818	7107	1570
819	7115	1561
820	7120	1552
821	7128	1543
822	7134	1534
823	7142	1525
824	7149	1516
825	7155	1507
826	7161	1498
827	7167	1488
828	7174	1479
829	7179	1470
830	7184	1461
831	7191	1452
832	7196	1442
833	7201	1433
834	7210	1424
835	7218	1416
836	7225	1407
837	7231	1397
838	7236	1388
839	7242	1379
840	7247	1370
841	7253	1361
842	7259	1351
843	7265	1342
844	7272	1333
845	7277	1324
846	7283	1315
847	7291	1306
848	7296	1297
849	7302	1288
850	7309	1279
851	7318	1271
852	7329	1263
853	7336	1254
854	7343	1245
855	7349	1236
856	7358	1227
857	7364	1218
858	7371	1210
859	7378	1201
860	7383	1192
861	7389	1182
862	7394	1173
863	7399	1164
864	7404	1155
865	7410	1146
866	7415	1137
867	7421	1128
868	7431	1120
869	7441	1111
870	7449	1103
871	7455	1094
872	7460	1085
873	7467	1076
874	7472	1067
875	7478	1058
876	7485	1049
877	7491	1040
878	7496	1031
879	7502	1023
880	7508	1014
881	7515	1005
882	7521	996
883	7526	987
884	7533	978
885	7539	970
886	7544	961
887	7551	952
888	7556	943
889	7561	934
890	7569	925
891	7575	917
892	7580	908
893	7585	899
894	7591	890
895	7597	881
896	7602	873
897	7607	864
898	7612	855
899	7617	846
900	7623	837
901	7628	828
902	7635	820
903	7641	811
904	7648	802
905	7654	794
906	7660	785
907	7665	776
908	7670	767
909	7676	759
910	7683	750
911	7689	741
912	7694	733
913	7701	724
914	7707	715
915	7712	707
916	7717	698
917	7722	689
918	7727	681
919	7732	672
920	7737	663
921	7742	654
922	7747	646
923	7753	637
924	7758	629
925	7763	620
926	7768	611
927	7774	603
928	7783	594
929	7792	586
930	7798	578
931	7805	569
932	7813	561
933	7819	552
934	7825	544
935	7830	535
936	7836	526
937	7842	518
938	7847	509
939	7852	501
940	7857	492
941	7862	484
942	7868	475
943	7877	467
944	7883	458
945	7891	450
946	7899	442
947	7906	433
948	7914	425
949	7921	416
950	7928	408
951	7934	400
952	7940	391
953	7945	383
954	7950	374
955	7956	366
956	7961	357
957	7967	349
958	7973	340
959	7979	332
960	7985	324
961	7991	315
962	7996	307
963	8002	298
964	8008	290
965	8013	282
966	8019	273
967	8024	265
968	8029	256
969	8034	248
970	8041	240
971	8047	231
972	8053	223
973	8064	215
974	8072	206
975	8078	198
976	8083	190
977	8089	181
978	8094	173
979	8099	165
980	8106	157
981	8112	148
982	8119	140
983	8124	132
984	8129	123
985	8135	115
986	8142	107
987	8148	98
988	8156	90
989	8163	82
990	8168	74
991	8178	65
992	8185	57
993	8191	49
994	8197	41
995	8204	32
996	8210	24
997	8215	16
998	8223	8
999	8230	0
