iter	RMSE
0	172.06376
1	167.1519268
2	162.4492186
3	158.1570556
4	154.2462214
5	150.4131785
6	146.9123985
7	143.4927689
8	140.3057805
9	137.2914622
10	134.5388256
11	132.0449455
12	129.6096607
13	127.2678614
14	125.1096432
15	123.1109528
16	121.1272803
17	119.3784571
18	117.7756029
19	116.1611084
20	114.6733864
21	113.2481852
22	111.9939074
23	110.8086099
24	109.6299866
25	108.5355798
26	107.593598
27	106.6313292
28	105.776631
29	104.9684262
30	104.1902558
31	103.4053672
32	102.716802
33	102.0666273
34	101.4720692
35	100.9455837
36	100.3793308
37	99.85274547
38	99.36341754
39	98.87549982
40	98.41046793
41	97.95425087
42	97.50503607
43	97.15000633
44	96.80302102
45	96.48433398
46	96.14879481
47	95.81378554
48	95.49915325
49	95.23390748
50	94.94744593
51	94.68537318
52	94.41113066
53	94.15765518
54	93.96820365
55	93.76028215
56	93.53458475
57	93.36035163
58	93.14336192
59	92.8810641
60	92.57603075
61	92.38894506
62	92.15402638
63	91.8917574
64	91.78112122
65	91.61420593
66	91.46107616
67	91.18357322
68	90.99437044
69	90.78663306
70	90.60042771
71	90.48138953
72	90.38726694
73	90.2178001
74	90.08790948
75	89.92731066
76	89.728986
77	89.58239909
78	89.45483885
79	89.31263089
80	89.18513609
81	89.0745465
82	88.85375375
83	88.6963502
84	88.55380957
85	88.4496118
86	88.27869767
87	88.12605115
88	87.98097472
89	87.83596501
90	87.75828088
91	87.6631359
92	87.5859924
93	87.44598132
94	87.38407932
95	87.26031726
96	87.13158228
97	87.07799317
98	86.98226321
99	86.84641864
100	86.69505824
101	86.54095286
102	86.4676318
103	86.35602057
104	86.28726069
105	86.17401864
106	86.12482171
107	86.02347661
108	85.89518887
109	85.78642409
110	85.69738137
111	85.58047512
112	85.53771329
113	85.45409682
114	85.33387359
115	85.26166453
116	85.18705596
117	85.09985492
118	84.94033719
119	84.83648916
120	84.73413995
121	84.62607672
122	84.5980039
123	84.47000965
124	84.3694274
125	84.31694119
126	84.24842764
127	84.15720713
128	84.10480869
